step,g_phase_deg,LF_fx,LF_fz,LF_hip,LF_knee,LF_swing,LH_fx,LH_fz,LH_hip,LH_knee,LH_swing,RF_fx,RF_fz,RF_hip,RF_knee,RF_swing,RH_fx,RH_fz,RH_hip,RH_knee,RH_swing
0,0.0,-13.125,0.0,142.188,100.302,0,-35.0,0.0,149.997,120.518,1,30.625,0.0,84.398,65.286,0,8.75,0.0,57.579,81.435,0
1,1.8,-13.562,0.0,142.48,100.514,0,-34.871,0.174,150.287,119.9,1,30.188,0.0,83.804,65.809,0,8.312,0.0,57.102,81.57,0
2,3.6,-14.0,0.0,142.767,100.734,0,-34.492,0.683,151.118,118.12,1,29.75,0.0,83.212,66.323,0,7.875,0.0,56.628,81.699,0
3,5.4,-14.437,0.0,143.049,100.961,0,-33.878,1.51,152.418,115.324,1,29.312,0.0,82.624,66.827,0,7.438,0.0,56.156,81.82,0
4,7.2,-14.875,0.0,143.326,101.195,0,-33.04,2.636,154.099,111.683,1,28.875,0.0,82.038,67.322,0,7.0,0.0,55.687,81.934,0
5,9.0,-15.312,0.0,143.599,101.436,0,-31.992,4.037,156.071,107.37,1,28.438,0.0,81.455,67.808,0,6.562,0.0,55.221,82.041,0
6,10.8,-15.75,0.0,143.866,101.684,0,-30.748,5.691,158.246,102.542,1,28.0,0.0,80.875,68.284,0,6.125,0.0,54.758,82.142,0
7,12.6,-16.188,0.0,144.128,101.94,0,-29.319,7.566,160.542,97.342,1,27.562,0.0,80.297,68.752,0,5.688,0.0,54.297,82.235,0
8,14.4,-16.625,0.0,144.386,102.203,0,-27.72,9.628,162.878,91.893,1,27.125,0.0,79.721,69.211,0,5.25,0.0,53.84,82.322,0
9,16.2,-17.062,0.0,144.638,102.473,0,-25.963,11.836,165.174,86.307,1,26.688,0.0,79.148,69.661,0,4.812,0.0,53.385,82.401,0
10,18.0,-17.5,0.0,144.885,102.75,0,-24.062,14.142,167.345,80.684,1,26.25,0.0,78.578,70.103,0,4.375,0.0,52.934,82.474,0
11,19.8,-17.938,0.0,145.127,103.035,0,-22.03,16.493,169.296,75.119,1,25.812,0.0,78.01,70.536,0,3.938,0.0,52.485,82.539,0
12,21.6,-18.375,0.0,145.364,103.327,0,-19.88,18.831,170.922,69.706,1,25.375,0.0,77.444,70.961,0,3.5,0.0,52.039,82.598,0
13,23.4,-18.812,0.0,145.595,103.627,0,-17.625,21.094,172.102,64.538,1,24.938,0.0,76.88,71.377,0,3.063,0.0,51.597,82.65,0
14,25.2,-19.25,0.0,145.821,103.934,0,-15.277,23.22,172.7,59.713,1,24.5,0.0,76.319,71.785,0,2.625,0.0,51.158,82.695,0
15,27.0,-19.688,0.0,146.042,104.248,0,-12.852,25.147,172.573,55.335,1,24.062,0.0,75.76,72.185,0,2.188,0.0,50.722,82.733,0
16,28.8,-20.125,0.0,146.257,104.57,0,-10.36,26.815,171.581,51.514,1,23.625,0.0,75.203,72.577,0,1.75,0.0,50.289,82.764,0
17,30.6,-20.562,0.0,146.467,104.9,0,-7.816,28.173,169.614,48.366,1,23.188,0.0,74.649,72.961,0,1.313,0.0,49.859,82.788,0
18,32.4,-21.0,0.0,146.672,105.237,0,-5.233,29.177,166.63,46.009,1,22.75,0.0,74.096,73.337,0,0.875,0.0,49.433,82.805,0
19,34.2,-21.438,0.0,146.87,105.582,0,-2.623,29.792,162.69,44.545,1,22.312,0.0,73.546,73.705,0,0.438,0.0,49.01,82.816,0
20,36.0,-21.875,0.0,147.064,105.934,0,0.0,30.0,157.976,44.049,1,21.875,0.0,72.998,74.066,0,0.0,0.0,48.59,82.819,0
21,37.8,-22.312,0.0,147.252,106.295,0,2.623,29.792,152.765,44.545,1,21.438,0.0,72.452,74.418,0,-0.438,0.0,48.174,82.816,0
22,39.6,-22.75,0.0,147.434,106.663,0,5.232,29.177,147.361,46.009,1,21.0,0.0,71.909,74.763,0,-0.875,0.0,47.762,82.805,0
23,41.4,-23.187,0.0,147.61,107.039,0,7.816,28.173,142.019,48.366,1,20.563,0.0,71.367,75.1,0,-1.312,0.0,47.353,82.788,0
24,43.2,-23.625,0.0,147.781,107.423,0,10.36,26.815,136.905,51.514,1,20.125,0.0,70.827,75.43,0,-1.75,0.0,46.947,82.764,0
25,45.0,-24.062,0.0,147.946,107.815,0,12.852,25.147,132.092,55.335,1,19.688,0.0,70.29,75.752,0,-2.188,0.0,46.546,82.733,0
26,46.8,-24.5,0.0,148.104,108.215,0,15.278,23.22,127.586,59.713,1,19.25,0.0,69.755,76.066,0,-2.625,0.0,46.147,82.695,0
27,48.6,-24.937,0.0,148.258,108.623,0,17.625,21.094,123.36,64.538,1,18.812,0.0,69.222,76.373,0,-3.062,0.0,45.753,82.65,0
28,50.4,-25.375,0.0,148.405,109.039,0,19.88,18.831,119.372,69.706,1,18.375,0.0,68.691,76.673,0,-3.5,0.0,45.362,82.598,0
29,52.2,-25.812,0.0,148.546,109.464,0,22.03,16.493,115.585,75.119,1,17.938,0.0,68.162,76.965,0,-3.938,0.0,44.976,82.539,0
30,54.0,-26.25,0.0,148.681,109.897,0,24.062,14.142,111.971,80.684,1,17.5,0.0,67.635,77.25,0,-4.375,0.0,44.593,82.474,0
31,55.8,-26.688,0.0,148.81,110.339,0,25.963,11.836,108.519,86.307,1,17.063,0.0,67.111,77.527,0,-4.812,0.0,44.214,82.401,0
32,57.6,-27.125,0.0,148.932,110.789,0,27.72,9.628,105.229,91.893,1,16.625,0.0,66.589,77.797,0,-5.25,0.0,43.839,82.322,0
33,59.4,-27.562,0.0,149.049,111.248,0,29.319,7.566,102.117,97.342,1,16.188,0.0,66.068,78.06,0,-5.688,0.0,43.467,82.235,0
34,61.2,-28.0,0.0,149.159,111.716,0,30.748,5.691,99.212,102.542,1,15.75,0.0,65.55,78.316,0,-6.125,0.0,43.1,82.142,0
35,63.0,-28.438,0.0,149.263,112.192,0,31.992,4.037,96.56,107.37,1,15.313,0.0,65.035,78.564,0,-6.562,0.0,42.737,82.041,0
36,64.8,-28.875,0.0,149.36,112.678,0,33.04,2.636,94.218,111.683,1,14.875,0.0,64.521,78.805,0,-7.0,0.0,42.379,81.934,0
37,66.6,-29.312,0.0,149.451,113.173,0,33.878,1.51,92.258,115.324,1,14.438,0.0,64.01,79.039,0,-7.438,0.0,42.024,81.82,0
38,68.4,-29.75,0.0,149.535,113.677,0,34.493,0.683,90.762,118.12,1,14.0,0.0,63.501,79.266,0,-7.875,0.0,41.673,81.699,0
39,70.2,-30.188,0.0,149.613,114.191,0,34.871,0.174,89.813,119.9,1,13.563,0.0,62.994,79.486,0,-8.312,0.0,41.327,81.57,0
40,72.0,-30.625,0.0,149.683,114.714,0,35.0,0.0,89.484,120.518,0,13.125,0.0,62.49,79.698,0,-8.75,0.0,40.985,81.435,0
41,73.8,-31.062,0.0,149.747,115.247,0,34.563,0.0,90.112,119.888,0,12.688,0.0,61.988,79.904,0,-9.187,0.0,40.648,81.293,0
42,75.6,-31.5,0.0,149.804,115.79,0,34.125,0.0,90.736,119.269,0,12.25,0.0,61.488,80.102,0,-9.625,0.0,40.314,81.144,0
43,77.4,-31.937,0.0,149.854,116.343,0,33.688,0.0,91.357,118.662,0,11.813,0.0,60.991,80.293,0,-10.062,0.0,39.986,80.988,0
44,79.2,-32.375,0.0,149.897,116.907,0,33.25,0.0,91.973,118.066,0,11.375,0.0,60.496,80.478,0,-10.5,0.0,39.661,80.825,0
45,81.0,-32.812,0.0,149.933,117.481,0,32.812,0.0,92.586,117.481,0,10.938,0.0,60.004,80.655,0,-10.937,0.0,39.342,80.655,0
46,82.8,-33.25,0.0,149.961,118.066,0,32.375,0.0,93.196,116.907,0,10.5,0.0,59.514,80.825,0,-11.375,0.0,39.026,80.478,0
47,84.6,-33.688,0.0,149.981,118.662,0,31.938,0.0,93.802,116.343,0,10.063,0.0,59.026,80.988,0,-11.813,0.0,38.716,80.293,0
48,86.4,-34.125,0.0,149.995,119.269,0,31.5,0.0,94.405,115.79,0,9.625,0.0,58.542,81.144,0,-12.25,0.0,38.41,80.102,0
49,88.2,-34.562,0.0,150.0,119.888,0,31.062,0.0,95.005,115.247,0,9.188,0.0,58.059,81.293,0,-12.687,0.0,38.108,79.904,0
50,90.0,-35.0,0.0,149.997,120.518,0,30.625,0.0,95.602,114.714,0,8.75,0.0,57.579,81.435,0,-13.125,0.0,37.812,79.698,0
51,91.8,-34.871,0.174,150.287,119.9,1,30.188,0.0,96.196,114.191,0,8.312,0.0,57.102,81.57,0,-13.562,0.0,37.52,79.486,0
52,93.6,-34.493,0.683,151.118,118.12,1,29.75,0.0,96.788,113.677,0,7.875,0.0,56.628,81.699,0,-14.0,0.0,37.233,79.266,0
53,95.4,-33.878,1.51,152.418,115.324,1,29.312,0.0,97.376,113.173,0,7.438,0.0,56.156,81.82,0,-14.437,0.0,36.951,79.039,0
54,97.2,-33.04,2.636,154.099,111.683,1,28.875,0.0,97.962,112.678,0,7.0,0.0,55.687,81.934,0,-14.875,0.0,36.674,78.805,0
55,99.0,-31.992,4.037,156.071,107.37,1,28.438,0.0,98.545,112.192,0,6.562,0.0,55.221,82.041,0,-15.312,0.0,36.401,78.564,0
